,forums,subject_id,subject,date,author_or_replier,init_post,author_id,author_locations,author_name,texts
0,Depression Forum,122917,Trying to hoold down a new and demanding job with depression,2015-10-13T17:00:36+0100,author,True,46790,London,Greycylinder,"I don't know what to do. I shouldn't really be working but it's a new , well paid job (started 20th June) but I'm barely functioning. Should I be honest and hang the consequences? I feel so sick when I imagine telling them how ill I am. I want someone to tell me what to do."
1,Depression Forum,122917,Trying to hoold down a new and demanding job with depression,2015-10-13T17:17:06+0100,replier,False,45714,London,misssadness,I am sorry you are in this difficult situation. Nobody can tell you what to do as only you can know what is best. Maybe make a list of pros and cons?
2,Depression Forum,122917,Trying to hoold down a new and demanding job with depression,2015-10-13T18:44:52+0100,author,False,46790,London,Greycylinder,I was in such a state today that I went to my GP who insisted that I am sned off for 4 weeks so I feel great releief and think it's for the best. Thanks. x
3,Depression Forum,122917,Trying to hoold down a new and demanding job with depression,2015-10-13T19:04:44+0100,replier,False,24462,London,MarlieeB,Hopefully the four weeks off will help xxx
4,Depression Forum,122917,Trying to hoold down a new and demanding job with depression,2015-10-13T19:28:20+0100,replier,False,41065,UK,Unique1,"Yes, your health is important.  Rest up, take it easy and take things slow.  I'm glad you got some time off. Wish you well Unique1 xx"
5,Depression Forum,122917,Trying to hoold down a new and demanding job with depression,2015-10-14T21:29:53+0100,author,False,46790,London,Greycylinder,"Advice from others in this situation  I took my husband in with me yesterday because she knows that part of my depression is caused by his drinking (he drinks in secret...in the loo, in th garage, in the car etc) and she asked me if I was willing to share these issues in front of him and I reluctantly agreed. He was shamed and angry and now is barely speaking to me so I fear it may be the final nail in the coffin.  I felt so guilty today about not working but all I could do was hide in my bed and sleep. How do you all cope when the depression is at its worst? I feel the clock ticking on many things, my job, my marriage and my life and I have no energy at all.  What practical things can I attempt to do to help myself?"
6,Depression Forum,122917,Trying to hoold down a new and demanding job with depression,2015-10-15T16:09:29+0100,replier,False,24462,London,MarlieeB,"I'm sorry that he didn't react too well. Hopefully as the shocks is absorbed he might calm down and see that you were trying to help him. I'm sure it wouldn't be suggested if they didn't think it would help.  I understand that guilty feeling, I really do. To be honest when I am at my worst I don't cope, not at all.  Practical ways? You could do things like taking a walk. It might be for 30 seconds or 5 minutes but getting yourself out. Buying something really nice to soak in a bath with. Doing your hair because personally when I'm bad my hair just doesn't happen.  Little things sometimes, helps me the most.  Take care  xxx"
7,Depression Forum,122917,Trying to hoold down a new and demanding job with depression,2015-10-16T22:21:58+0100,author,False,46790,London,Greycylinder,"Thank you. I did ring my manager today to try to sound her out about my job being held open for me but she was very non-committal so in a way I wish I hadn't called. but, there are many worse things n life and without my incoe, we will survive.  I took your advice and booked a haircut and a pedicure. Tomorrow we're on a family day out with my American cousins and i just hope i can make it out of bed. Wish it was summer and I could sit in the sun though. xxxx"
8,Depression Forum,122917,Trying to hoold down a new and demanding job with depression,2015-10-16T22:23:43+0100,replier,False,45714,London,misssadness,You sound much more positive which is lovely. I hope you have a great day tomorrow.
9,Depression Forum,122917,Trying to hoold down a new and demanding job with depression,2015-10-16T23:40:38+0100,replier,False,47518,London,chrismac,"Hi . If there was one thing i could tell you what to do then i and you wouldn't be here but there is always another perspective but then again that's just going back to what i said before. I thought is just a thought right . so what you are thinking is your indicator of how your feeling so, how do you stop that thing you do that makes you feel like you do? even now its not that straight forward . If you can just change your thought to another then another then another then you may of just distracted yourself from the thought that gave you the negative emotion. Look at the things you have in your life already and be general about it ."
10,Depression Forum,122917,Trying to hoold down a new and demanding job with depression,2015-10-17T13:25:47+0100,author,False,24462,,MarlieeB,"Greycylinder said: Thank you. I did ring my manager today to try to sound her out about my job being held open for me but she was very non-committal so in a way I wish I hadn't called. but, there are many worse things n life and without my incoe, we will survive.  I took your advice and booked a haircut and a pedicure. Tomorrow we're on a family day out with my American cousins and i just hope i can make it out of bed. Wish it was summer and I could sit in the sun though. xxxx  I'm sorry your Manager didn't really give any kind of answers. Maybe it's a good idea to try and not to contact work until you are ready to go back to save yourself from maybe getting upset?  I'm glad you have things booked in to take care of yourself and looks like you have a nice fun day booked out with your cousins  Take care.  xxx"
11,Depression Forum,20779,Suicidal thoughts,2011-02-19T01:10:39+0000,author,True,11504,London,insatiable232,"I've just had a major, major mood swing.  Was feeling perfectly happy and fine half an hour ago, now I feel like I want to end my life.  Some background info - diagnosed with depression and anxiety about a month ago (though been having symptoms for a year +), been on citalopram 10mg and a week ago it was raised to 20mg. Haven't felt any obvious effects of the drug yet.  So about half an hour ago I was feeling fine and now I'm in a low, dark mood. Something did happen, only a small disagreement (wouldn't even call it an argument) with an ex-partner who I'm still close to. And now I just feel angry, stressed, depressed, anxious and suicidal all at once. Mainly depressed and suicidal though. They know about my condition and know that small things can trigger my mood swings which makes me more upset, it's as if they don't care how they treat me. I do feel unloved, quite worthless and to be honest a huge waste of space. I'd love to end my life right now but I am 100% sure I will not attempt it, it's just a thought.  I doubt anyone will be awake at this time to offer immediate advice but any advice on how to cope with this in the future would be greatly appreciated. I've got to get up early and this is draining me."
12,Depression Forum,20779,Suicidal thoughts,2011-02-19T01:12:38+0000,replier,False,9233,Ayrshire,bulbie,"Well, try and distract yourself if you can. What was the disagreement about?"
13,Depression Forum,20779,Suicidal thoughts,2011-02-19T01:17:34+0000,author,False,11504,London,insatiable232,"Something trivial, but they said something hurtful which they don't seem to be feeling too apologetic about and because they once loved me I'm s tarting to believe that I am actually worthless! Which really hurts."
14,Depression Forum,20779,Suicidal thoughts,2011-02-19T01:20:23+0000,replier,False,9233,Ayrshire,bulbie,"Well, it's clearly bothering you a lot, so I wouldn't say it's trivial at all. Why don't they seem sorry about it?"
15,Depression Forum,20779,Suicidal thoughts,2011-02-19T01:21:57+0000,author,False,11504,London,insatiable232,"Because they aren't saying sorry although they know they've hurt me and they are actually making it worse by acting so indifferently to my pain. It'd be better in a way if they were downright nasty to me, at least then I'd have something to react to!"
16,Depression Forum,20779,Suicidal thoughts,2011-02-19T01:22:52+0000,author,False,11504,London,insatiable232,Thank you by the way for talking to me. It's already made me feel a tiny bit better knowing that somebody gives a shit. Lol
17,Depression Forum,20779,Suicidal thoughts,2011-02-19T01:23:28+0000,replier,False,9233,Ayrshire,bulbie,"So was it a passive comment, or said outright?"
18,Depression Forum,20779,Suicidal thoughts,2011-02-19T01:26:53+0000,author,False,11504,London,insatiable232,"It was passive.. they're manipulative. I know how he does it cos I can do it too - not that I do it to him, I'm very upfront and explicit with how I feel when I talk to him. But he takes his anger with other people out on me and it upsets me. He knows I'm ill and he knows I can get seriously depressed by one little thing - maybe he's forgotten which I don't blame him cos he's going through stuff too. But I just wish I didn't get THIS low; I can cope with minor feelings of lowness but when this happens it's extremely difficult to point my thoughts away from dying :/"
19,Depression Forum,20779,Suicidal thoughts,2011-02-19T01:28:57+0000,replier,False,9233,Ayrshire,bulbie,"Honestly, I'm in the same place. My now ex always got angry at me for saying or doing things I honestly thought were helping. Always liked to say he couldn't cope, he was going through too much with his health as it was. But he ever liked to remember the point that I am ill also and am triggered by the tiniest thing. Are you still talking?"
20,Depression Forum,20779,Suicidal thoughts,2011-02-19T01:33:22+0000,author,False,11504,London,insatiable232,"I'm sorry you're going through this too I've not spent enough time on the forum to find out about other members but I aim to. Trust me, my ex isn't saying things he thinks is going to help..he's doing it because he can't control his own anger/irritations, and I am an easy target. He's not ill though he's 'normal'! As far as I know. We've stopped talking, I think he's fallen asleep. I don't want to speak to him anymore. He causes me too much stress. But I still really want to talk to him at the same time difficult situation."
21,Depression Forum,20779,Suicidal thoughts,2011-02-19T01:36:38+0000,author,False,9233,Ayrshire,bulbie,"It is. My ex spoke to me yesterday, was absolutely fine with me until I told him I wasn't ready to take my stuff back yet, it would feel like he was gone from my life forever. It was there he said well not to be nasty but you did the same to me. He hasn't spoken to me since. I really want to talk to him and try and sort things out, but at the same time I want to forget he ever existed...  Wait and see if he talks to you tomorrow. If he is the one hurting you, then YOu go quiet, and let him come to you. Give him time to realise what he has been doing that has hurt you. Do you think you will sleep tonight?"
22,Depression Forum,20779,Suicidal thoughts,2011-02-19T01:42:57+0000,replier,False,11504,London,insatiable232,"I don't think my situation is as serious as yours because we never lived together, in fact we were only together a couple of months but we've carried on seeing each other and there was (is?) a strong bond between us..I swear we'd all be better off without romantic relationships haha and just keep reproducing via artificial insemination lol. I'd happily live without a romantic attachment ever again. I was so, so scared of giving myself emotionally to him. He promised he wouldn't hurt me. Then he went and hurt me. In a way I'm more upset for myself than the actual situation of being hurt or whatever, because I just don't want to get hurt but it keeps happening, not just in romantic relationships but in life in general. Frustrating....  Yeah I'm going to leave him to think about what he's done and won't talk to him til he talks to me. Not that I want to talk to him at the moment anyway. I hope I sleep.. I'm going to get off the computer now because I need to get up at 9 and never sleep enough as I should these days anyway. Thank you for talking to me, it's weird but good to think that a random person on a computer screen can make me feel better, even if it's just a little bit. But you've helped lift me from suicidal thoughts to just plain old sadness which is a big thing for me. Thank you xx (and I hope you feel better tomorrow too)."
23,Depression Forum,20779,Suicidal thoughts,2011-02-19T01:45:08+0000,author,False,9233,Ayrshire,bulbie,"Thank you honey. Check back in here tomorrow when you can, and I'll be here, and we'll talk some more, ok? xx"
24,Depression Forum,20779,Suicidal thoughts,2011-02-19T23:41:17+0000,replier,False,11714,npton,mrmojorisin,when you say it only takes a little thing to get you upset can a little compliment or a nice smile or a reply to your thread help you feell better?
25,Depression Forum,9057,So this is Valentines Day then?,2010-02-14T23:19:47+0000,author,True,3933,London,Prince Buster,Anybody else feeling desperately lonely and fearing for the future?
26,Depression Forum,9057,So this is Valentines Day then?,2010-02-15T00:25:45+0000,replier,False,4775,London,oneday,"Hi, Yes Valentines can be a lonley time when you're on your own. My long-term relationship split up this year so this is a reminder. Hope things start feeling better for the future for you PB. Take care"
27,Depression Forum,9057,So this is Valentines Day then?,2010-02-15T01:58:16+0000,replier,False,4910,United Kingdom,SimonB,...Ughhh!
28,Depression Forum,9057,So this is Valentines Day then?,2010-02-18T10:18:36+0000,replier,False,4911,Bulford England,xxxmetal-chickxxx,i was with my husband for valentines and still felt miserable and alone.  =(
29,Depression Forum,9057,So this is Valentines Day then?,2010-02-18T10:27:31+0000,replier,False,0,,Apotheosis,Prince Buster said: Anybody else feeling desperately lonely and fearing for the future?  About the sum of it.
30,Depression Forum,369977,Giving up.,2021-04-12T22:21:46+0100,author,True,98273,London,Tiredandtested,"Hi all,  I’m 42, Covid has taken my once thriving business, along with my goals and dreams ... and pretty much my industry. I’d been in therapy before Covid, my work was the one thing that kept me going, focused and something I was satisfied with, that I hung my self worth to, as everything in my life, my family, friends etc was and still is a mess. I have no support in that area.  So far, I’ve just been able to bury my head, but now I’m slowly coming to terms with the idea, that what I’ve spent so much of my life working towards, well ... it’s just not viable, or can’t exist anymore. I’m not even sure if I could still do it now it’s been so long and my confidence has depleted.  I’ve been able to get some other work, but I just can’t face the thought of the rest of my life being in a dead end job that I know I’ll hate and I have no other qualifications, or anything to offer to any other industry. I’ve looked into doing something at Uni, but honestly I just don’t know if I’ll be able to finance it, or if I even want it! My career has been such a huge part of my identity, I feel so worthless now. Starting again is such a daunting thought at my age, every thought is a desperate scramble to find some kind of answer that I can feel happy about, and I’m coming up short.  I’m a single parent and I’m continuously feeling like my daughter would have a better shot at life if I wasn’t around, I have some savings and assets I could leave for her now, but It’s all slowly being depleted, and the more I think about it, the more I feel my life is coming to a natural end, I’ve lived a for filling life, I’ve enjoyed my career, perhaps selfishly as it’s got me to this point. I’ve always encouraged my daughter to follow her dreams, chase happiness... what sort of shitty mother am I?! What have I got to show for any of this?! She deserves so much better than me.  I’m trying to tell myself ...’just get on with your life’ ‘you’ll find something else you’ll enjoy’ ‘don’t be so selfish’ It’s a massive mountain I have to climb, I’d only just reached the point of being able to consider things like saving to buy a house, having some sense of financial security, and not without so many sacrifices. I had only just afforded to book our very first holiday for last year, of course that was cancelled, I already promised my daughter I’d get her driving lessons when she reached 17 next year.... all of this feels very unachievable now. I just can’t face going backwards, living in fear of not having enough to make rent payments, I thought that period of my life was over, I’m getting frequent panic attacks I Don’t want to do it. Don’t have the motivation or the energy to start again. I don’t want to live like this.  I worked so hard for myself, thinking that no one could ever take this business away from me, I’m in charge and in control of my own destiny.... but then this happens and all I can think is ....seriously, what is the point in doing anything? Now I feel like a complete failure in every sense.  I’m sorry I’ve just ranted on, there’s no real question, and I know no one can help me. I know there’s people who have lost more than I have and that makes me feel guilty and even worse for even being this disgusting, disappointing human being."
31,Depression Forum,369977,Giving up.,2021-04-12T22:31:11+0100,replier,False,98655,"Punta Gorda, Florida, USA",MeAndMyDepression,"It may help to have a look at these two pages on the forum: Suicidal Crisis and Mental Health Forum - Getting Help about what to do if you're feeling suicidal, or if you need emergency help. I hope you can use the forum for support during this difficult time.  If you’re thinking about suicide and are in immediate danger, please call your local emergency number (i.e. in the UK call 999, in the USA or Canada call 911, in Australia call 000 and in New Zealand call 111) or call the international emergency number of 112.  If you have been affected by the contents of this thread and would like to speak to someone about your feelings you can call one of the following helplines:  In the UK and Ireland, the Samaritans can be contacted on 116 123. In the US, the National Suicide Prevention Lifeline is 1-800-273-8255. In Canada, the Suicide Prevention Service on 1.833.456.4566. In Australia, the crisis support service Lifeline is on 13 11 14. In New Zealand, the Need to Talk service is on 1737 or 080017371737. Other international helplines can be found at www.befrienders.org."
32,Depression Forum,369977,Giving up.,2021-04-12T23:33:08+0100,replier,False,98655,"Punta Gorda, Florida, USA",MeAndMyDepression,"I'm impressed how you've always encouraged your daughter to follow her dreams and to chase happiness. That makes you a great mother, and I bet your daughter is proud to have you as her mother. She most definitely wants you to be around for her.  It's good that you're currently working to help pay the bills. It will give you the opportunity to decide what you want to do as your ""second act"" in life. Don't think you have to be stuck in your current job for the rest of your life. Consider it as a bridge from your past profession to your new profession, and you don't have to work your way up the corporate ladder again. Start over fresh.  I think a career counselor may be able to help you. Perhaps you can turn a hobby into a full-time profession. Reading articles or books on second acts may also be beneficial.  I'm pretty much in the same situation as you. I worked in software engineering for thirty years (I'm 61 now), and then I became disabled because of my severe depression. I now get monthly payments from a government program (Social Security), so I'm not wanting for money, but I want to do something else with my life. That's exasperating, trying to find out what I can do. But since I'm getting these monthly payments, I have some breathing room to figure out what my second act will be. You have to do some serious soul-searching for what you want your second act to be. Good luck."
33,Depression Forum,369977,Giving up.,2021-04-12T23:56:52+0100,replier,False,98655,"Punta Gorda, Florida, USA",MeAndMyDepression,"""I know there’s people who have lost more than I have and that makes me feel guilty and even worse for even being this disgusting, disappointing human being.""  You have nothing to feel guilty about. Don't compare your situation to other people's situations. Don't minimize your suffering. Also, I wish you weren't so hard on yourself. It sounds like you're raising a fine, young daughter, who really needs you."
34,Depression Forum,13849,How is TED???,2010-07-15T22:21:16+0100,author,True,9113,london,fight the system,"Anyone heard form Ted, Hope he is ok x"
35,Depression Forum,13849,How is TED???,2010-07-15T23:08:08+0100,replier,False,3809,England,iffybob,"Big Ted , or Little Ted. ( sorry i am old, I remember Play School , ps if you se Humpty he owes me a tenner )"
36,Depression Forum,13849,How is TED???,2010-07-15T23:14:06+0100,author,False,9113,london,fight the system,What a horrid profile pic Iffybob Ted the member who was suicidle on his last post Good job i am not seeing Little teds otherwise i could have taken offence!!
37,Depression Forum,13849,How is TED???,2010-07-16T01:15:17+0100,replier,False,0,,DELATEXT,"Hi, ted please let us know you are alright ????"
38,Depression Forum,13849,How is TED???,2010-07-16T01:20:52+0100,replier,False,5734,Gower,Rosepoet,hope hes ok. i always feel people r so brave whenthe ask help. i find it hard to ask out loud. of people have let u down u cant risk it!!!!!
39,Depression Forum,13849,How is TED???,2010-07-16T17:05:57+0100,author,False,9113,london,fight the system,"yes Rosepoet, he was very brave to have put up that post and letting us know about all those feelings. Lets hope he gets in touch soon. x"
40,Depression Forum,5652,Jumping and stumbling through hoops,2009-07-18T01:52:42+0100,author,True,2138,London. UK,Tortoise,"Hi everyone.  I've been under a lot of stress during the past week because I have to go for a medical assessment in order to justify my claim for incapacity benefit. It's not the first time I've had one of these. The last one was 5 years ago and it was a ludicrously embarrassing procedure.  I've managed to get a letter from my previous Consultant which may persuade the assessors (Medical Services) to conduct the interview at my home, like the previous one. I still have to 'phone the buggers though, to tell them I've sent the letter and explain why I can't keep the appointment.  I made a photocopy of the letter and posted the original yesterday afternoon. Whilst the Consultant's comments have a few inaccuracies (I've had a change of medication since our final appointment for example), I find a lot of it so distressing that I cannot bring myself to read it properly.  All I can think of are the phrases like 'psychotic symptoms' and 'isolated'. I've always envied those service users who seem to get a certain enjoyment or sense of wacky fun out of being regarded as 'mad', whereas I find the whole idea of being perceived as 'insane' or 'psychotic' within my community as a kind of living death-sentence.  Whilst I do agree about the isolation (I have ongoing Agoraphobia and live alone) and know that I need to try and make more social contacts, I have a long-standing fear of other people and what they may do to me if I should be perceived as being a danger to myself or others.  A lot of difficult and unpleasant feelings are arising in connection with a small group of service users who attend a Day Centre I occasionally frequent. I've become extremely angry and resentful towards one or two of them for certain things they have said in the past, and for ways in which they have behaved toward me. When I'm alone in my home these incidents can come up into consciousness and I find myself indulging in angry abusive arguments with these individuals - a kind of acting out which has become almost habitual. It's a bloody nuisance because it can interfere with any concentration I may need to apply to a task I may be doing.  It's reached the point where I want to distance myself from them for the sake of my own emotional balance and to avoid further hurt, but I'm finding it very hard to do so. This would mean totally avoiding the Day Centre which is a part of my support system and trying to find alternatives (not easy to do in my London Borough which is undergoing cutbacks in Mental Health Services).  Does anyone else have a problem with the need to be part of a group with the sense of comfort and belonging this may bring, set against the need to maintain individuality and self-respect within such a social unit?  Thanks for reading this. It's a bit long but I've tried to keep it controlled and coherent. Hope it hasn't caused any distress. Supportive comments would be most welcome.  ""You cannot prevent the birds of sadness from flying over your head, but you can prevent them from nesting in your hair"""
41,Depression Forum,5652,Jumping and stumbling through hoops,2009-07-18T03:11:56+0100,replier,False,2948,Australia,schiz01,hi  Hi I can relate as im in a similar situation.My doc wants me to go to a day group where they do cooking classes and go on day trips...a lot of the people that go are much more handicapped then i am and i find the whole thing humiliating but i spose you have to start some where.As for those people you are having trouble with...they probally have there own problems and you shouldnt take what they say and do to heart ...just do your own thing ...maybe later you can move on to attending some classes to further your education or something best of luck
42,Depression Forum,5652,Jumping and stumbling through hoops,2009-07-19T11:06:11+0100,replier,False,184,Birmingham UK,nickh,"Sorry to hear of your problems Tortoise. The benefit situation is I'm afraid one that many of us are facing at the moment and you will find a great deal more about it elsewhere on the Forum (see Scared of new ESA http://www.mentalhealthforum.net/forum/showthread.php?t=2822 ).  The socialising is, if possible, an even more difficult problem. I don't know that I can fully respond or empathise as I suspect my own need to be part of a group may be less than yours - having said which I do now spend a lot more time with other people than I used to ; however the outcome of this in the longer or shorter run is nearly always an episode of some kind. Whether this is a price worth paying I don't know. Isolation is certainly easier for me but it is very difficult to maintain self-worth and isolation especially if you have - as I do and I suspect many of us - considerable problems with the former in the first place. The social groups I attend are not Day Centres but MH campaigning ones - so I am with other people with MH issues generally but in a less 'social' setting ; I think I find that easier. Would some such group help you or is it the social side which you want?  I am afraid this is not very helpful - I am just acknowledging some recognition of the problem and throwing out a couple of ideas.  Nick."
43,Depression Forum,131692,How is everyone feeling today?,2016-03-05T06:07:11+0000,author,True,49762,London,Avan96,Tell me about your day
44,Depression Forum,131692,How is everyone feeling today?,2016-03-05T06:35:20+0000,replier,False,0,,seekingsense2,It's very early here. I couldn't sleep. My day hasn't started yet and I'm not sure what I'm going to do. I had plans but my body is aching so I don't know if that will ease. I'm not too sure what I'm feeling this morning. Sort of numb I think. How are you.
