"Location,London borough,Post town,Postcode district,Dial code,OS grid ref"
"Abbey Wood,""Bexley,  Greenwich"",LONDON,SE2,020,TQ465785"
"Acton,""Ealing, Hammersmith and Fulham"",LONDON,""W3, W4"",020,TQ205805"
"Addington,Croydon,CROYDON,CR0,020,TQ375645"
"Addiscombe,Croydon,CROYDON,CR0,020,TQ345665"
"Albany Park,Bexley,""BEXLEY, SIDCUP"",""DA5, DA14"",020,TQ478728"
"Aldborough Hatch,Redbridge,ILFORD,IG2,020,TQ455895"
"Aldgate,City,LONDON,EC3,020,TQ334813"
"Aldwych,Westminster,LONDON,WC2,020,TQ307810"
"Alperton,Brent,WEMBLEY,HA0,020,TQ185835"
"Anerley,Bromley,LONDON,SE20,020,TQ345695"
"Angel,Islington,LONDON,""EC1, N1"",020,TQ345665"
"Aperfield,Bromley,WESTERHAM,TN16,01959,TQ425585"
"Archway,Islington,LONDON,N19,020,TQ285875"
"Ardleigh Green,Havering,HORNCHURCH,RM11,01708,TQ535895"
"Arkley,Barnet,""BARNET, LONDON"",""EN5, NW7"",020,TQ225955"
"Arnos Grove,Enfield,LONDON,""N11, N14"",020,TQ295925"
"Balham,Wandsworth,LONDON,SW12,020,TQ285735"
"Bankside,Southwark,LONDON,SE1,020,TQ325795"
"Barbican,City,LONDON,""EC1, EC2"",020,TQ322818"
"Barking,Barking and Dagenham,BARKING,IG11,020,TQ440840"
"Barkingside,Redbridge,ILFORD,IG6,020,TQ445895"
"Barnehurst,Bexley,BEXLEYHEATH,DA7,01322,TQ505755"
"Barnes,Richmond upon Thames,LONDON,SW13,020,TQ225765"
"Barnes Cray,Bexley,DARTFORD,DA1,01322,TQ525755"
"Barnet Gate,Barnet,""LONDON, BARNET"",""NW7, EN5"",020,TQ218952"
"Barnet (also Chipping Barnet, High Barnet),Barnet,BARNET,EN5,020,TQ245955"
"Barnsbury,Islington,LONDON,N1,020,TQ305845"
"Battersea,Wandsworth,LONDON,SW11,020,TQ285765"
"Bayswater,Westminster,LONDON,W2,020,TQ255805"
"Beckenham,Bromley,""BECKENHAM, LONDON"",""BR3, SE20"",020,TQ375695"
"Beckton,Newham,""LONDON, BARKING"",""E6, E16, IG11"",020,TQ435815"
"Becontree,Barking and Dagenham,DAGENHAM,RM9,020,TQ485855"
"Becontree Heath,Barking and Dagenham,DAGENHAM,RM8,020,TQ493871"
"Beddington,Sutton,""WALLINGTON, CROYDON"",""SM6, CR0"",020,TQ305655"
"Bedford Park,Ealing,LONDON,W4,020,TQ208793"
"Belgravia,Westminster,LONDON,SW1,020,TQ283792"
"Bellingham,Lewisham,LONDON,SE6,020,TQ375715"
"Belmont,Harrow,""HARROW, STANMORE"",""HA3, HA7"",020,TQ165905"
"Belmont,Sutton,SUTTON,SM2,020,TQ253620"
"Belsize Park,Camden,LONDON,NW3,020,TQ273845"
"Belvedere,Bexley,BELVEDERE,DA17,020,TQ495785"
"Bermondsey,Southwark,LONDON,SE1,020,TQ335795"
"Berrylands,Kingston upon Thames,SURBITON,KT5,020,TQ195675"
"Bethnal Green,Tower Hamlets,LONDON,E2,020,TQ345825"
"Bexley (also Old Bexley, Bexley Village),Bexley,BEXLEY,DA5,020,TQ465755"
"Bexleyheath (also Bexley New Town),Bexley,""BEXLEYHEATH, LONDON"",""DA6, DA7, SE2"",020,TQ485755"
"Bickley,Bromley,BROMLEY,BR3,020,TQ423688"
"Biggin Hill,Bromley,WESTERHAM,TN16,01959,TQ418590"
"Blackfen,Bexley,SIDCUP,DA15,020,TQ455745"
"Blackfriars,City,LONDON,EC4,020,TQ318808"
"Blackheath,Lewisham,LONDON,SE3,020,TQ395765"
"Blackheath Royal Standard,Greenwich,LONDON,""SE3, SE12"",020,TQ399753"
