,id,name,address,coor,city,phone,website,email,description,charity_number,company_number,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
0,e8a668c8-e6e3-445c-8430-ec553c3a537e,Edinburgh Play and Wellbeing,EH11 4RU,"(55.922364, -3.27788685)",Edinburgh,07511533432,,edinburghplayandwellbeing@gmail.com,"Edinburgh Play and Wellbeing has been set up and aim is to offer support for vulnerable people, on an individual person-centre.  Member of The College Guild of Graduates Register Diploma in Bereavement and Grief Counselling.",SC050635,,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00,09:00 – 12:00,Closed
1,eb576c74-9f28-4530-b167-883ce4ea8e19,Signpost NENC,"Cumbria,CA1","(54.88464234999999, -2.904537)",Carlisle,,https://www.signpostnenc.co.uk/,,"A mental health and well-being signposting site for everyone across the North East and North Cumbria.  We all know mental health and wellbeing is a vital part of all our lives that requires some looking after from time to time. That’s why we’re here. To collect all the worthwhile resources and put them in one, easy to navigate website for all",,,24 Hours,24 Hours,24 Hours,24 Hours,24 Hours,24 Hours,24 Hours
2,1ed32ad9-cf39-60a6-aebf-39261b4ff50b,Togetherall (Scotland),"Scotland,AB12","(57.087770250000005, -2.172326)",Aberdeen,02034056196,https://togetherall.com/en-gb/free-mental-health-support-for-your-community-in-scotland/,theteam@togetherall.com,"Available via participating Scottish councils, Togetherall is a safe, online community where people support each other anonymously to improve mental health and wellbeing.  Togetherall is currently available in the following areas:  Supporting Young people:  Orkney Islands Council - 16 – 19 years of age Glasgow City Council - 16 – 24 years of age Tayside – Angus, Dundee, Perth & Kinross Councils - 16 – 24 years of age West Dunbartonshire Council - 16 – 24 years of age East Renfrewshire Council - 16 – 25 years of age Renfrewshire Council - 16 – 25 years of age South Ayrshire Council - 16 – 25 years of age Clackmannanshire Council - 16 – 26 years of age Falkirk Council - 16 – 26 years of age Fife Council - 16 – 26 years of age Stirling Council - 16 – 26 years of age  Supporting people of all ages: Aberdeenshire Council - Ages 16+ Scottish Borders Council - Ages 16+  Information sourced from website: https://togetherall.com/en-gb/free-mental-health-support-for-your-community-in-scotland/",,06227377,24 Hours,24 Hours,24 Hours,24 Hours,24 Hours,24 Hours,24 Hours
3,1ecf088b-8782-6baa-939f-698fdcc7fcbf,Lifelink,"Lifelink, Suite 4, Melisa House,Brand Place,Glasgow,G51 1DR","(55.8538664, -4.300003799999999)",Glasgow,01415524434,https://www.lifelink.org.uk/,info@lifelink.org.uk,"Lifelink can offer support to anyone who is struggling to cope with everyday stress or is feeling anxious or depressed. Issues such as debt, bereavement, addiction, self-harm/suicide and problems with relationships or family can all interfere with a persons’ quality and experience of life.  Talking things through in a safe and confidential space can help you understand how you are feeling and can help you develop effective ways of coping with challenges you may face.  Lifelink's one to one support gives young people the opportunity to discuss any issues that may be affecting them. Our counsellors will work on ways to overcome any difficulties they have so that they can go back to feeling positive again.  Information sourced from website: https://www.lifelink.org.uk/how-we-can-help/adults/",SC025643,171155,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00,09:30 – 12:30,Closed
4,1eccf860-c3ff-6e8a-a89d-27e2f62444e6,Rainbow House,"Rainbow House,21a Westland Drive,Glasgow,G14 9NY","(55.8776462, -4.339438299999999)",Glasgow,01419501772,https://www.crossreach.org.uk/,,Offering mental health support and advice.  Also offering counselling.  Information sourced from website: https://www.scottishdrugservices.com/,SC0011353,,24 Hours,24 Hours,24 Hours,24 Hours,24 Hours,24 Hours,24 Hours
5,149b834e-949b-4447-8c79-99c64518d4a2,"Always Another Way, Cumbria","Frizington Youth Club, Off Church Street,Frizington,Cumbria,CA26 3SS","(54.538241450000015, -3.49600735)",Frizington,07548342527,https://www.alwaysanotherway.co.uk/,info@alwaysanotherway.co.uk,"We provide a weekly mental health drop in and also one to one support.   Some of face to face sessions will be taking place at this address, such as the LGBTQ youth group. Our other sessions are taking place in various venues, for further information about venues for particular groups and services please visit our website or contact via email or mobile.",,10238699,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00,12:00 – 15:00,Closed
6,1eccc5b0-5318-6542-a445-0dd6d60ea2fc,Berwick Youth Project,"9-12 Golden Square,Berwick-upon-Tweed,Northumberland,TD15 1BG","(55.769783099999984, -2.0060039)",Berwick-upon-Tweed,01289333100,https://berwickyouthproject.co.uk/,info@berwickyouthproject.co.uk,"We have a wide range of services, offering different things to different people, who have different needs at different times. For some young people that we work with we provide a safe place to be and a source of practical and emotional help.  For some, it’s a fun place to meet with challenging activities in the evenings and holidays. For others, we offer accommodation and support. And of course, for some young people, it can be all of these things!  And we’re always looking for your suggestions about what you want! Berwick Youth Project is available to ALL young people aged 13 – 25 years, living in the Berwick area.",1166598,,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00,Closed,Closed
7,74e9f336-b9dd-43e3-b042-6f6de02ddbe0,Jean's Bothy,"102 East King Street,Helensburgh,G84 7RG","(56.00180859999999, -4.715497000000001)",Helensburgh,07542226390,https://www.jeansbothy.org/,jeansbothy@enable.org.uk,Mental Health & Wellbeing hub offering therapeutic activities and workshops aswell as 1-2-1 phone support during Monday - Friday 10am - 4pm,,,10:00 – 16:00,10:00 – 16:00,10:00 – 16:00,10:00 – 16:00,10:00 – 16:00,Closed,Closed
8,1ed12605-c696-6bcc-a6fb-3d31c8c1d72d,"Counselling Service for Young People, Newcastle City Council",NE4 6UJ,"(54.97397205, -1.6420005)",Newcastle upon Tyne,0772056094901912733997,https://children-ne.org.uk/how-we-can-help/young-people/counselling/,weyes.counselling@children-ne.org.uk,"If you are struggling with any mental health issues, for whatever reason, we are here to help you.  Our One to One counselling service helps you (as long as you are aged 9 to 25 years old) with your mental health issues. Our friendly counsellors are expertly trained which means we can help you by using a variety of therapy techniques. Whatever the issues affecting your life we are here to help. This includes depression, anxiety, bullying, self-harming, loss and bereavement.  If you don’t want to come to our building then our counsellors can meet you wherever you feel safe and are currently available evenings and Saturday mornings too.  Young Victims of Crime Counselling Service - Did you know that young people are more likely to be victims of crime than adults? Whether you have experienced crime at home, at school or in your local community we can help you if you live in: Newcastle, Gateshead, Sunderland South and West Northumberland and South Tyneside.  We offer a special counselling service for you (as long as you are aged 11 to 25 years old) if you have been a victim of crime. This might include crimes such as domestic abuse, sexual violence or hate crime. This special counselling service helps you to cope and recover from your experience. We offer you the chance to meet other young people who have been through similar experiences to come together, support each other and make new friends.  Information sourced from website: https://www.newcastlesupportdirectory.org.uk/counselling-service-young-people",222041,90288,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00,Closed,Closed
9,1ecd756f-f004-60c6-bb77-79166520189d,Celebrate Recovery,"Jesmond Parish Church,Eskdale Terrace,Newcastle upon Tyne,NE2 4DJ","(54.98220599999999, -1.6065152500000002)",Newcastle upon Tyne,01912127424,https://www.jpc.org.uk/groups-events/app/church-life/celebrate-recovery,info@celebraterecovery.org.uk,"We are a 12-Step Christ-centred recovery programme offering support to anyone seeking freedom from any hurt, hang-up or habit.   You are welcome to join us on any Monday. Our weekly meetings run from January to December. If you think Celebrate Recovery might help you, come along to our Monday evening meetings at 7.30pm in church. The General Meeting Night includes Large Group Time with worship and a Bible-based recovery lesson or testimony. This is followed by gender-specific Open Share Groups which follow 5 group guidelines to keep everyone safe.",504491,,19:30 – 21:30,Closed,Closed,Closed,Closed,Closed,Closed
