,id,name,address,coor,city,phone,website,email,description,charity_number,company_number,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
0,1ed1a1a9-a29a-62bc-ab02-7f1055b1616a,Unisus Wellbeing,"Salisbury House,,Buddle Street,Wallsend,NE28 6EH","(54.98891020000001, -1.5314682)",Wallsend,01918150340,https://unisus.org.uk/wellbeing,wellbeing@unisus.org.uk,"We provide person centred counselling at our centre in Wallsend and also online. Most of our counsellors are students on placement, who can offer support to those with low level anxiety and depression and is funded for those on low income.   Our associate counsellors are qualified and offer a service to those with higher level needs. This service is provided to those on a low income at a subsidised rate. Counsellors are fully insured and are members of either BACP or NCS.   Our other service is a domiciliary care service so we have experience of working with carer staff, family carers and those with disabilities.",10762096,14137888,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00,Closed,Closed
1,1eca6cbe-8c79-672a-adfd-5bb0d772eaee,Recovery College Online,,"(None, None)",,,https://lms.recoverycollegeonline.co.uk/,tewv.vrc@nhs.net,"The Recovery College Online provides a range of online educational courses and resources that can be accessed by anyone. There are some courses that are available for guest students to view, however most courses require that you sign up for an account which is quick and easy to do. You must be aged 13 or over to create an account.  The Recovery College Online is for people with experience of mental health issues including service users their family, friends, carers and staff. The courses are co-produced by individuals with personal experience of mental health issues and professionals, this means that the content provides a combined perspective.",,,24 Hours,24 Hours,24 Hours,24 Hours,24 Hours,24 Hours,24 Hours
2,7fa9ea7a-5488-45c8-8d5b-0ebaf776edbc,Quinn's Retreat,,"(None, None)",,07930678901,https://quinnsretreat.org.uk/,quinnsretreat@gmail.com,"We help Those who have been bereaved by Suicide, those suffering with their mental health and anyone with an INQUEST caseworker by offering them free of charge short breaks at our Caravan in Barnard Castle , County Durham.  In memory of our children Dyllon and Quinn.  REGISTERED CHARITY NO. 1187899.",,,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00,Closed,Closed
3,1ecf3e50-08d4-6470-899d-5925bf0e53e3,Nick Morgan - Youth Mental Health,SG4,"(51.90432115, -0.24024605)",Hitchin,07521004961,https://www.nickmorgan.uk/,hello@nickmorgan.uk,"I can offer a range of services and support, both in person and over video, all covid dependent, to support young people's mental health:  Supporting Young People: Offering a variety of skills and techniques, specifically involvement, of you/your child to help themselves.  I offer 1-1 sessions looking at practical support for young people, which I call WIAG sessions (Wellbeing, Information, Advice and Guidance), I give a variety of short and long term support to young people. This work can be done as 1-1 sessions or group work.  Mental Health First Aid England membership number: 0113000003536.",,,09:00 – 17:00,09:00 – 17:00,Closed,09:00 – 17:00,09:00 – 12:00,08:00 – 13:00,Closed
4,0b08ef0e-14d2-4415-a4d6-5057cfe9d744,The OLLIE FOUNDATION,,"(None, None)",,07715311891,https://www.theolliefoundation.org/,contactus@theolliefoundation.org,Providing confidential help and advice to young people and anyone worried about a young person.  Updated from website: https://theolliefoundation.org/,1167116,,09:00 – 19:00,09:00 – 18:00,09:00 – 18:00,09:00 – 18:00,09:00 – 18:00,09:00 – 18:00,Closed
5,1ece7ce2-8ad4-6df6-aa56-5f4a72a744fe,Muslim Women's Network,,"(None, None)",,01212369000,https://www.mwnhelpline.co.uk/,info@mwnhelpline.co.uk,"The helpline is a national specialist faith and culturally sensitive service that is confidential and non-judgmental, which offers information, support, guidance and referrals. We also provide holistic in depth support via case-workers for complex cases where service users need ongoing support which could last weeks or months. The helpline also acts as an interface or conduit between the victims and other specialist that can also provide support. Although, our service users are primarily Muslim women and girls, we also provide support to men (5% of callers) and to women of other faiths and no faith (e.g. 4%).   We provide help on about 43 issues. Two thirds of our service users contact us about different forms of abuse such as domestic abuse, honour-based abuse, forced marriage, sexual abuse, sexual harassment, stalking and revenge porn. Most callers also contact us about more than one issue. Half of callers also want help for their mental health such as for anxiety, depression, post-traumatic stress, self harm, suicidal thoughts and loneliness. For these callers we are able to make internal referrals to our counselling service or to try and identify local services in their areas.   Phone: 10am to 4pm (Mon To Fri) 0800 999 5786 (free from mobiles and landlines) 0741 520 6936 (Usual call rates apply) Text us 07415 206 936",1155092,,10:00 – 16:00,10:00 – 16:00,10:00 – 16:00,10:00 – 16:00,10:00 – 16:00,Closed,Closed
6,1ed123f7-104b-63fa-83af-5912d1cecb7b,The Burnt Chef Support Service,,"(None, None)",,08009154610,https://www.theburntchefproject.com/burntchefsupportservice,helpline@thedrinkstrust.org.uk,"A free text based service available 24/7 to anyone involved in hospitality who wishes to talk about their mental health. The service is provided by Mental Health Innovations who operate the very successful SHOUT service.   Why might someone use The Burnt Chef Support Service?  There are many reasons why people may get in touch with The Burnt Chef Support Service, and our our Volunteers will provide 24/7 support and guidance, no matter what the issue.  It supports people experiencing any type of personal mental health concern. It might be that texters feel anxious or stressed, isolated, lonely or grieving. They may be experiencing eating or body issues or substance misuse. Perhaps they have experienced bullying, depression or sadness, or have relationship worries, or self-harm and suicidal thoughts. Sexual, physical or emotional abuse or concerns about sexual identity may also be prompts for texting in.  Our trained volunteers provide texters with empathetic support and techniques to handle future problems, as well as directing them towards longer-term support and/or therapy for their particular concerns. It’s not a one way process: you won’t be told what to do.  The service is a volunteer-driven, de-escalation service. We may not be able to provide you with the kind of service you might need, if you are looking for continuous regular support.  How do I use the service? To use this free and confidential service just text: BURNTCHEF to 85258 (UK) - Anytime day or night and a volunteer will aim to respond within 5 minutes. OR call via freephone 0800 915 4610 or by email helpline@thedrinkstrust.org.uk. All calls and emails answered by counsellors and clinically trained psychotherapists.  Information updated from website: https://www.theburntchefproject.com/helpandsupport",,12472396,24 Hours,24 Hours,24 Hours,24 Hours,24 Hours,24 Hours,24 Hours
7,1ed329e6-2044-60d0-b0e1-f57b166f9b9f,We are Hummingbird,,"(None, None)",,,https://www.wearehummingbird.com/,info@wearehummingbird.com,"We are Hummingbird is a non-profit Mental Health awareness organisation. We are a community of music lovers who have united to spread awareness of mental health by using music as a platform to encourage people to open up and engage in conversation.  We are Hummingbird is a community who talk, share and find support around mental health under the umbrella of music, we are united by a love of music and a commitment to look after each other.",,12550589,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00,Closed,Closed
8,1ed5c4ce-cb58-6d42-a387-c73fe87bc069,Violet Project,,"(None, None)",,,https://violetproject.co.uk/,info@violetproject.co.uk,"We support communities around self-harm and suicide.   We offer support groups around matters such as self-harm and suicide loss for Midlands and an online UK national suicide bereavement group. We also host wellbeing sessions within the Midlands for factors such as stress, anger, sleep, isolation etc.",,14201748,Closed,09:00 – 20:00,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00,10:00 – 14:00,Closed
9,305f7449-bada-4717-923d-c9529a0aef72,The Mix,,"(None, None)",,08088084994,https://www.themix.org.uk/,info@themix.org.uk,"The Mix is a support service for young people. We are here to help you take on any challenge you’re facing - from mental health to money, from homelessness to finding a job, from break-ups to drugs.   You can call our helpline which is open 4pm-11pm every day and also Text THEMIX to 85258 (24/7). You can also email us and we have a one-to-one chat message service.  Information updated from website: https://www.themix.org.uk/get-support",1048995,,16:00 – 23:00,16:00 – 23:00,16:00 – 23:00,16:00 – 23:00,16:00 – 23:00,16:00 – 23:00,16:00 – 23:00
